Регион,Дата,Наменование ЖК,Рацион,Масляная,Капроновая,Каприловая,Каприновая,Деценовая,Лауриновая,Миристиновая,Миристолеиновая,Пальмитиновая,Пальмитолеиновая,Стеариновая,Олеиновая,Линолевая,Линоленовая,Арахиновая,Бегеновая,Прочие,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17
ЭНА,2025-02-25,ЖК Бобров-1,ЖК Бобров Д1 (КК-11) 25.02.24 (1)_ЭНАВ,3.27,2.15,1.34,3.34,0.28,4.1,11.21,1.11,33.26,2.17,8.19,22.1,2.38,0.43,0.12,"<0,05",-,"41,00","59,00","7,43","11,59","16,81","5,96","6,70","26,00","25,49","17,50","5,99","6,74","15,99","7,90","33,90","45,28","4,32","3,61"
ЭНА,2025-02-25,ЖК Бодеевка,Д1 Бодеевка 25.02.25_ЭНАЛБ,3.24,2.09,1.28,3.11,0.26,3.76,10.71,1.07,32.65,2.34,8.31,23.62,2.36,0.39,0.12,"<0,05",-,"16,82","25,29","26,10","11,43","36,93","6,21","6,32","16,70","17,31","7,34","6,78","7,83","6,83","14,11","43,89","4,77","4,00","8,12"
ЭНА,2025-06-26,ЖК Бодеевка,Отчет_Д1 Бодеевка 26.06.25_ЭНАЛБ,3.31,2.21,1.31,3.26,0.21,3.91,10.77,1.01,31.53,2.12,8.67,23.71,2.62,0.4,0.12,"<0,05",-,"16,94","25,83","25,80","11,62","36,12","6,12","6,38","16,60","16,73","7,47","5,48","7,60","6,63","13,67","44,17","4,98","4,20","7,81"
ЭНА,2025-05-21,ЖК Верхний Икорец,ЖК В. Икорец Д1 (КК-11) 21.05.25_ЭНАВ,3.47,2.34,1.41,3.54,0.25,4.34,11.48,1.08,35.64,2.15,7.66,19.07,2.29,0.39,0.11,"<0,05",-,"38,00","62,00","7,39","11,52","16,70","6,11","6,41","25,19","26,97","18,47","6,95","7,10","16,99","7,71","32,90","44,28","4,28","3,62"
ЭНА,2025-06-26,ЖК Волчанское,Отчет_Д1 ЖК Волчанское 26.06.2025_ЭНАПБ,3.37,2.25,1.35,3.32,0.24,4.0,11.19,1.06,33.31,2.25,8.3,21.8,2.5,0.4,0.12,"<0,05",-,"16,6506","26,1261","25,2267","16,5751","6,5770","16,4005","6,2797","7,2443","11,3261","8,9774","7,3578","45,8613","4,0641","3,4591","7,9271","0,8502","0,3908","0,3783"
ЭНА,2025-02-25,ЖК Высокое,Рацион Д1 Высокое 25.02.25_ЭНАЛБ,3.24,2.07,1.27,3.05,0.26,3.68,10.22,1.03,32.88,2.42,8.65,22.24,2.47,0.34,0.12,"<0,05",-,"16,59","26,68","25,84","11,53","36,27","6,02","5,86","16,28","17,08","7,40","6,81","7,18","6,65","13,88","44,48","4,74","3,99","8,06"
ЭНА,2025-02-25,ЖК Высокое ,Рацион Д1 Высокое 25.02.25_ЭНАЛБ,3.17,2.01,1.25,2.98,0.26,3.61,10.34,1.06,32.63,2.41,8.72,24.14,2.5,0.35,0.12,"<0,05",-,"16,59","26,68","25,84","11,53","36,27","6,02","5,86","16,28","17,08","7,40","6,81","7,18","6,65","13,88","44,48","4,74","3,99","8,06"
ЭНА,2025-02-25,ЖК Высокое ,Д0 Высокое 25.02.25_ЭНАЛБ,3.42,2.0,1.15,2.54,0.18,2.88,9.02,0.75,29.65,2.23,11.11,27.64,2.43,0.36,0.14,"<0,05",-,"16,63","22,31","30,18","11,10","34,78","5,79","6,12","20,98","23,00","7,10","8,67","6,59","6,43","16,74","39,91","4,47","3,67","8,51"
ЭНА,2025-02-25,ЖК Высокое ,Рацион Д3 ЖК Высокое 25.02.25_ЭНАЛБ,3.25,2.05,1.25,2.96,0.26,3.57,10.26,1.05,32.63,2.4,8.77,24.11,2.5,0.35,0.12,"<0,05",-,"13,87","19,58","37,61","9,70","31,54","4,38","7,35","28,57","34,26","6,05","12,54","6,40","2,00","24,29","35,74","3,88","2,62","9,01"
ЭНА,2025-02-25,ЖК Добрино,Д1 ДОБРИНО 25.02.25_ЭНАЛБ,3.17,2.08,1.31,3.22,0.27,3.93,10.82,1.07,32.06,2.26,8.42,23.73,2.48,0.42,0.12,"<0,05",-,"17,07","26,02","26,91","11,56","35,63","6,08","6,08","18,05","18,22","7,43","5,16","7,37","6,77","13,87","43,17","4,68","3,93","7,88"
